,LINK_ID,DATA,HOUR,SPEED
163,4130019400,20210430,19,27.0
164,4130019400,20210430,20,23.0
165,4130019400,20210430,21,21.0
166,4130019400,20210430,22,21.0
167,4130019400,20210430,23,21.0
168,4130019600,20210430,14,34.0
169,4130019700,20210430,0,36.0
170,4130019700,20210430,1,36.0
171,4130019700,20210430,2,36.0
172,4130019700,20210430,3,36.0
173,4130019700,20210430,4,36.0
174,4130019700,20210430,5,36.0
175,4130019700,20210430,6,37.0
176,4130019700,20210430,7,28.0
177,4130019700,20210430,8,17.0
178,4130019700,20210430,9,14.0
179,4130019700,20210430,10,17.0
180,4130019700,20210430,11,24.0
181,4130019700,20210430,12,22.0
182,4130019700,20210430,14,32.0
183,4130019700,20210430,15,36.0
184,4130019700,20210430,16,30.0
185,4130019700,20210430,17,27.0
186,4130019700,20210430,18,30.0
187,4130019700,20210430,19,48.0
188,4130019700,20210430,20,40.0
189,4130019700,20210430,21,33.0
190,4130019700,20210430,22,29.0
191,4130019700,20210430,23,29.0
192,4130019800,20210430,0,43.0
193,4130019800,20210430,1,43.0
194,4130019800,20210430,2,43.0
195,4130019800,20210430,3,40.0
196,4130019800,20210430,4,40.0
197,4130019800,20210430,5,43.0
198,4130019800,20210430,6,52.0
199,4130019800,20210430,7,53.0
200,4130019800,20210430,8,45.0
201,4130019800,20210430,9,28.0
202,4130019800,20210430,10,20.0
203,4130019800,20210430,11,22.0
204,4130019800,20210430,12,22.0
205,4130019800,20210430,14,24.0
206,4130019800,20210430,15,24.0
207,4130019800,20210430,16,26.0
208,4130019800,20210430,17,26.0
209,4130019800,20210430,18,26.0
210,4130019800,20210430,19,26.0
211,4130019800,20210430,20,26.0
212,4130019800,20210430,21,26.0
213,4130019800,20210430,22,26.0
214,4130019800,20210430,23,26.0
215,4130019900,20210430,19,29.0
216,4130020300,20210430,0,36.0
217,4130020300,20210430,1,36.0
218,4130020300,20210430,2,36.0
219,4130020300,20210430,3,36.0
220,4130020300,20210430,4,36.0
221,4130020300,20210430,5,36.0
222,4130020300,20210430,6,30.0
223,4130020300,20210430,7,28.0
224,4130020300,20210430,8,28.0
225,4130020300,20210430,9,28.0
226,4130020300,20210430,10,28.0
227,4130020300,20210430,11,28.0
228,4130020300,20210430,12,28.0
229,4130020300,20210430,14,28.0
230,4130020300,20210430,15,25.0
231,4130020300,20210430,16,23.0
232,4130020300,20210430,17,21.0
233,4130020300,20210430,18,19.0
234,4130020300,20210430,19,17.0
235,4130020300,20210430,20,15.0
236,4130020300,20210430,21,13.0
237,4130020300,20210430,22,13.0
238,4130020300,20210430,23,13.0
239,4130020400,20210430,0,36.0
240,4130020400,20210430,1,36.0
241,4130020400,20210430,2,36.0
242,4130020400,20210430,3,36.0
243,4130020400,20210430,4,36.0
244,4130020400,20210430,5,36.0
245,4130020400,20210430,6,32.0
246,4130020400,20210430,7,30.0
247,4130020400,20210430,8,30.0
248,4130020400,20210430,9,30.0
249,4130020400,20210430,10,30.0
250,4130020400,20210430,11,26.0
251,4130020400,20210430,12,22.0
252,4130020400,20210430,14,33.0
253,4130020400,20210430,15,10.0
254,4130020400,20210430,16,6.0
255,4130020400,20210430,17,8.0
256,4130020400,20210430,18,20.0
257,4130020400,20210430,19,29.0
258,4130020400,20210430,20,31.0
259,4130020400,20210430,21,31.0
260,4130020400,20210430,22,31.0
261,4130020400,20210430,23,31.0
262,4130020900,20210430,0,36.0
263,4130020900,20210430,1,36.0
264,4130020900,20210430,2,36.0
265,4130020900,20210430,3,36.0
266,4130020900,20210430,4,36.0
267,4130020900,20210430,5,36.0
268,4130020900,20210430,6,14.0
269,4130020900,20210430,7,5.0
270,4130020900,20210430,8,6.0
271,4130020900,20210430,9,8.0
272,4130020900,20210430,10,11.0
273,4130020900,20210430,11,15.0
274,4130020900,20210430,12,20.0
275,4130020900,20210430,14,23.0
276,4130020900,20210430,15,23.0
277,4130020900,20210430,16,23.0
278,4130020900,20210430,17,23.0
279,4130020900,20210430,18,23.0
280,4130020900,20210430,19,23.0
281,4130020900,20210430,20,23.0
282,4130020900,20210430,21,23.0
283,4130020900,20210430,22,23.0
284,4130020900,20210430,23,23.0
285,4130021100,20210430,0,35.0
286,4130021100,20210430,1,35.0
287,4130021100,20210430,2,35.0
288,4130021100,20210430,3,35.0
289,4130021100,20210430,4,35.0
290,4130021100,20210430,5,35.0
291,4130021100,20210430,6,17.0
292,4130021100,20210430,7,10.0
293,4130021100,20210430,8,8.0
294,4130021100,20210430,9,7.0
295,4130021100,20210430,10,6.0
296,4130021100,20210430,11,5.0
297,4130021100,20210430,12,4.0
298,4130021100,20210430,14,7.0
299,4130021100,20210430,15,8.0
300,4130021100,20210430,16,11.0
301,4130021100,20210430,17,12.0
302,4130021100,20210430,18,12.0
303,4130021100,20210430,19,12.0
304,4130021100,20210430,20,12.0
305,4130021100,20210430,21,12.0
306,4130021100,20210430,22,12.0
307,4130021100,20210430,23,12.0
308,4130021200,20210430,0,35.0
309,4130021200,20210430,1,35.0
310,4130021200,20210430,2,35.0
311,4130021200,20210430,3,35.0
312,4130021200,20210430,4,35.0
313,4130021200,20210430,5,35.0
314,4130021200,20210430,6,26.0
315,4130021200,20210430,7,23.0
316,4130021200,20210430,8,23.0
317,4130021200,20210430,9,23.0
318,4130021200,20210430,10,23.0
319,4130021200,20210430,11,23.0
320,4130021200,20210430,12,23.0
321,4130021200,20210430,14,23.0
322,4130021200,20210430,15,23.0
323,4130021200,20210430,16,23.0
324,4130021200,20210430,17,23.0
325,4130021200,20210430,18,23.0
326,4130021200,20210430,19,23.0
327,4130021200,20210430,20,23.0
328,4130021200,20210430,21,23.0
329,4130021200,20210430,22,23.0
330,4130021200,20210430,23,23.0
331,4130021300,20210430,0,36.0
332,4130021300,20210430,1,36.0
333,4130021300,20210430,2,36.0
334,4130021300,20210430,3,36.0
335,4130021300,20210430,4,36.0
336,4130021300,20210430,5,36.0
337,4130021300,20210430,6,27.0
338,4130021300,20210430,7,23.0
339,4130021300,20210430,8,23.0
340,4130021300,20210430,9,23.0
341,4130021300,20210430,10,23.0
342,4130021300,20210430,11,23.0
343,4130021300,20210430,12,23.0
344,4130021300,20210430,14,23.0
345,4130021300,20210430,15,23.0
346,4130021300,20210430,16,23.0
347,4130021300,20210430,17,23.0
348,4130021300,20210430,18,23.0
349,4130021300,20210430,19,23.0
350,4130021300,20210430,20,23.0
351,4130021300,20210430,21,23.0
352,4130021300,20210430,22,23.0
353,4130021300,20210430,23,23.0
354,4130021400,20210430,0,36.0
355,4130021400,20210430,1,36.0
356,4130021400,20210430,2,36.0
357,4130021400,20210430,3,36.0
358,4130021400,20210430,4,36.0
359,4130021400,20210430,5,36.0
360,4130021400,20210430,6,18.0
361,4130021400,20210430,7,11.0
362,4130021400,20210430,8,15.0
363,4130021400,20210430,9,21.0
364,4130021400,20210430,10,27.0
365,4130021400,20210430,11,23.0
366,4130021400,20210430,12,12.0
367,4130021400,20210430,14,6.0
368,4130021400,20210430,15,6.0
369,4130021400,20210430,16,6.0
370,4130021400,20210430,17,6.0
371,4130021400,20210430,18,6.0
372,4130021400,20210430,19,6.0
373,4130021400,20210430,20,6.0
374,4130021400,20210430,21,6.0
375,4130021400,20210430,22,6.0
376,4130021400,20210430,23,6.0
377,4130021600,20210430,0,36.0
378,4130021600,20210430,1,36.0
379,4130021600,20210430,2,36.0
380,4130021600,20210430,3,36.0
381,4130021600,20210430,4,36.0
382,4130021600,20210430,5,36.0
383,4130021600,20210430,6,17.0
384,4130021600,20210430,7,9.0
385,4130021600,20210430,8,8.0
386,4130021600,20210430,9,8.0
387,4130021600,20210430,10,8.0
388,4130021600,20210430,11,8.0
389,4130021600,20210430,12,8.0
390,4130021600,20210430,14,8.0
391,4130021600,20210430,15,8.0
392,4130021600,20210430,16,8.0
393,4130021600,20210430,17,8.0
394,4130021600,20210430,18,8.0
395,4130021600,20210430,19,8.0
396,4130021600,20210430,20,8.0
397,4130021600,20210430,21,8.0
398,4130021600,20210430,22,8.0
399,4130021600,20210430,23,8.0
400,4130021700,20210430,0,36.0
401,4130021700,20210430,1,36.0
402,4130021700,20210430,2,36.0
403,4130021700,20210430,3,36.0
404,4130021700,20210430,4,36.0
405,4130021700,20210430,5,36.0
406,4130021700,20210430,6,27.0
407,4130021700,20210430,7,24.0
408,4130021700,20210430,8,24.0
409,4130021700,20210430,9,24.0
410,4130021700,20210430,10,24.0
411,4130021700,20210430,11,24.0
412,4130021700,20210430,12,24.0
413,4130021700,20210430,14,24.0
414,4130021700,20210430,15,24.0
415,4130021700,20210430,16,24.0
416,4130021700,20210430,17,24.0
417,4130021700,20210430,18,24.0
418,4130021700,20210430,19,24.0
419,4130021700,20210430,20,24.0
420,4130021700,20210430,21,24.0
421,4130021700,20210430,22,24.0
422,4130021700,20210430,23,24.0
423,4130021900,20210430,0,61.0
424,4130021900,20210430,1,61.0
425,4130021900,20210430,2,69.0
426,4130021900,20210430,3,63.0
427,4130021900,20210430,4,62.0
428,4130021900,20210430,5,68.0
429,4130021900,20210430,6,62.0
430,4130021900,20210430,7,61.0
431,4130021900,20210430,8,57.0
432,4130021900,20210430,9,54.0
433,4130021900,20210430,10,55.0
434,4130021900,20210430,11,70.0
435,4130021900,20210430,12,57.0
436,4130021900,20210430,14,57.0
437,4130021900,20210430,15,57.0
438,4130021900,20210430,16,58.0
439,4130021900,20210430,17,57.0
440,4130021900,20210430,18,59.0
441,4130021900,20210430,19,56.0
442,4130021900,20210430,20,56.0
443,4130021900,20210430,21,56.0
444,4130021900,20210430,22,56.0
445,4130021900,20210430,23,56.0
446,4130022000,20210430,0,62.0
447,4130022000,20210430,1,62.0
448,4130022000,20210430,2,61.0
449,4130022000,20210430,3,57.0
450,4130022000,20210430,4,57.0
451,4130022000,20210430,5,63.0
452,4130022000,20210430,6,58.0
453,4130022000,20210430,7,58.0
454,4130022000,20210430,8,56.0
455,4130022000,20210430,9,50.0
456,4130022000,20210430,10,52.0
457,4130022000,20210430,11,70.0
458,4130022000,20210430,12,63.0
459,4130022000,20210430,14,46.0
460,4130022000,20210430,15,68.0
461,4130022000,20210430,16,42.0
462,4130022000,20210430,17,47.0
463,4130022000,20210430,18,43.0
464,4130022000,20210430,19,51.0
465,4130022000,20210430,20,57.0
466,4130022000,20210430,21,57.0
467,4130022000,20210430,22,58.0
468,4130022000,20210430,23,58.0
469,4130022100,20210430,0,35.0
470,4130022100,20210430,1,35.0
471,4130022100,20210430,2,35.0
472,4130022100,20210430,3,35.0
473,4130022100,20210430,4,35.0
474,4130022100,20210430,5,35.0
475,4130022100,20210430,6,24.0
476,4130022100,20210430,7,16.0
477,4130022100,20210430,8,17.0
478,4130022100,20210430,9,30.0
479,4130022100,20210430,10,28.0
480,4130022100,20210430,11,30.0
481,4130022100,20210430,12,30.0
482,4130022100,20210430,14,22.0
483,4130022100,20210430,15,19.0
484,4130022100,20210430,16,27.0
485,4130022100,20210430,17,33.0
486,4130022100,20210430,18,30.0
487,4130022100,20210430,19,32.0
488,4130022100,20210430,20,30.0
489,4130022100,20210430,21,27.0
490,4130022100,20210430,22,27.0
491,4130022100,20210430,23,27.0
492,4130022200,20210430,0,35.0
493,4130022200,20210430,1,35.0
494,4130022200,20210430,2,35.0
495,4130022200,20210430,3,38.0
496,4130022200,20210430,4,38.0
497,4130022200,20210430,5,35.0
498,4130022200,20210430,6,24.0
499,4130022200,20210430,7,16.0
500,4130022200,20210430,8,17.0
501,4130022200,20210430,9,22.0
502,4130022200,20210430,10,25.0
503,4130022200,20210430,11,30.0
504,4130022200,20210430,12,33.0
505,4130022200,20210430,14,35.0
506,4130022200,20210430,15,44.0
507,4130022200,20210430,16,41.0
508,4130022200,20210430,17,28.0
509,4130022200,20210430,18,20.0
510,4130022200,20210430,19,27.0
511,4130022200,20210430,20,35.0
512,4130022200,20210430,21,38.0
513,4130022200,20210430,22,38.0
514,4130022200,20210430,23,38.0
515,4130022300,20210430,0,36.0
516,4130022300,20210430,1,36.0
517,4130022300,20210430,2,36.0
518,4130022300,20210430,3,40.0
519,4130022300,20210430,4,40.0
520,4130022300,20210430,5,37.0
521,4130022300,20210430,6,32.0
522,4130022300,20210430,7,30.0
523,4130022300,20210430,8,26.0
524,4130022300,20210430,9,16.0
525,4130022300,20210430,10,13.0
526,4130022300,20210430,11,16.0
527,4130022300,20210430,12,26.0
528,4130022300,20210430,14,32.0
529,4130022300,20210430,15,28.0
530,4130022300,20210430,16,31.0
531,4130022300,20210430,17,25.0
532,4130022300,20210430,18,20.0
533,4130022300,20210430,19,27.0
534,4130022300,20210430,20,31.0
535,4130022300,20210430,21,35.0
536,4130022300,20210430,22,28.0
537,4130022300,20210430,23,25.0
538,4130022400,20210430,0,39.0
539,4130022400,20210430,1,39.0
540,4130022400,20210430,2,39.0
541,4130022400,20210430,3,36.0
542,4130022400,20210430,4,36.0
543,4130022400,20210430,5,38.0
544,4130022400,20210430,6,22.0
545,4130022400,20210430,7,15.0
546,4130022400,20210430,8,14.0
547,4130022400,20210430,9,34.0
548,4130022400,20210430,10,18.0
549,4130022400,20210430,11,18.0
550,4130022400,20210430,12,19.0
551,4130022400,20210430,14,16.0
552,4130022400,20210430,15,17.0
553,4130022400,20210430,16,18.0
554,4130022400,20210430,17,22.0
555,4130022400,20210430,18,22.0
556,4130022400,20210430,19,20.0
557,4130022400,20210430,20,17.0
558,4130022400,20210430,21,15.0
559,4130022400,20210430,22,15.0
560,4130022400,20210430,23,15.0
561,4130023100,20210430,19,37.0
562,4130023200,20210430,15,26.0
563,4130023500,20210430,0,37.0
564,4130023500,20210430,1,37.0
565,4130023500,20210430,2,37.0
566,4130023500,20210430,3,37.0
567,4130023500,20210430,4,37.0
568,4130023500,20210430,5,37.0
569,4130023500,20210430,6,34.0
570,4130023500,20210430,7,30.0
571,4130023500,20210430,8,29.0
572,4130023500,20210430,9,29.0
573,4130023500,20210430,10,30.0
574,4130023500,20210430,11,27.0
575,4130023500,20210430,12,27.0
576,4130023500,20210430,14,22.0
577,4130023500,20210430,15,20.0
578,4130023500,20210430,16,25.0
579,4130023500,20210430,17,16.0
580,4130023500,20210430,18,14.0
581,4130023500,20210430,19,14.0
582,4130023500,20210430,20,14.0
583,4130023500,20210430,21,14.0
584,4130023500,20210430,22,14.0
585,4130023500,20210430,23,14.0
586,4130023600,20210430,0,36.0
587,4130023600,20210430,1,36.0
588,4130023600,20210430,2,36.0
589,4130023600,20210430,3,37.0
590,4130023600,20210430,4,37.0
591,4130023600,20210430,5,36.0
592,4130023600,20210430,6,33.0
593,4130023600,20210430,7,32.0
594,4130023600,20210430,8,33.0
595,4130023600,20210430,9,30.0
596,4130023600,20210430,10,29.0
597,4130023600,20210430,11,29.0
598,4130023600,20210430,12,27.0
599,4130023600,20210430,14,27.0
600,4130023600,20210430,15,28.0
601,4130023600,20210430,16,26.0
602,4130023600,20210430,17,27.0
603,4130023600,20210430,18,27.0
604,4130023600,20210430,19,27.0
605,4130023600,20210430,20,27.0
606,4130023600,20210430,21,27.0
607,4130023600,20210430,22,27.0
608,4130023600,20210430,23,27.0
609,4130023700,20210430,17,27.0
610,4130023900,20210430,11,24.0
611,4130024000,20210430,0,36.0
612,4130024000,20210430,1,36.0
613,4130024000,20210430,2,36.0
