,LINK_ID,HOUR,SPEED
212,4130016900,10,12.875
213,4130016900,11,13.0
214,4130016900,12,14.0
215,4130016900,13,16.285714285714285
216,4130016900,14,16.375
217,4130016900,15,16.5
218,4130016900,16,17.625
219,4130016900,17,18.375
220,4130016900,18,18.75
221,4130016900,19,19.375
222,4130016900,20,20.125
223,4130016900,21,21.0
224,4130016900,22,21.875
225,4130016900,23,22.75
226,4130017200,8,40.0
227,4130017200,9,21.0
228,4130017200,10,25.333333333333332
229,4130017200,11,32.0
230,4130017200,14,30.0
231,4130017200,16,40.0
232,4130017200,17,39.5
233,4130017200,19,40.0
234,4130017200,20,49.0
235,4130017200,23,45.0
236,4130017500,10,5.0
237,4130017500,17,49.0
238,4130017700,8,4.0
239,4130017700,9,30.0
240,4130017700,10,31.0
241,4130017700,14,22.0
242,4130017700,17,26.5
243,4130017700,19,23.0
244,4130017700,20,27.0
245,4130017700,23,18.0
246,4130018700,0,36.1
247,4130018700,1,36.1
248,4130018700,2,36.1
249,4130018700,3,36.1
250,4130018700,4,36.0
251,4130018700,5,36.1
252,4130018700,6,30.7
253,4130018700,7,28.0
254,4130018700,8,29.0
255,4130018700,9,28.7
256,4130018700,10,28.2
257,4130018700,11,28.7
258,4130018700,12,28.0
259,4130018700,13,27.88888888888889
260,4130018700,14,28.3
261,4130018700,15,29.8
262,4130018700,16,31.3
263,4130018700,17,31.6
264,4130018700,18,31.8
265,4130018700,19,31.9
266,4130018700,20,31.6
267,4130018700,21,31.4
268,4130018700,22,31.4
269,4130018700,23,31.4
270,4130018800,0,35.1
271,4130018800,1,35.1
272,4130018800,2,35.1
273,4130018800,3,35.3
274,4130018800,4,35.4
275,4130018800,5,35.3
276,4130018800,6,29.9
277,4130018800,7,27.1
278,4130018800,8,27.1
279,4130018800,9,27.1
280,4130018800,10,27.9
281,4130018800,11,27.3
282,4130018800,12,26.2
283,4130018800,13,26.88888888888889
284,4130018800,14,24.9
285,4130018800,15,27.6
286,4130018800,16,28.6
287,4130018800,17,29.4
288,4130018800,18,28.7
